## Super Cars

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gb811s2 | Pfister | 811 S2 | Super |
| gbbanshees | Bravado | Banshee S | Super |
| gbemerussb1 | Progen | Emerus SB1 | Super |
| gbprospero | Pegassi | Prospero | Super |
| gbtr3s | Progen | TR3-S | Super |

## Sedans

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbadmiral | Dundreary | Admiral | Sedans |
| gbargento7f | Obey | Argento 7F | Sedans |
| gbharmann | Benefactor | Harmann | Sedans |
| gbimpaler | Declasse | Imapaler | Sedans |
| gbstanierle | Vapid | Stainer LE | Sedans |

## Sports Cars

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbcomets2r | Pfister | Comet S2R | Sports |
| gbcomets2rc | Pfister | Comet S2R C | Sports |
| gbeon | Coil | Eon | Sports |
| gbmilano | Grotti | Milano | Sports |
| gbmogulrs | Karin | Mogul RS | Sports |
| gbneonct | Pfister | Neon CT | Sports |
| gbnexusrr | Dinka | Nesus RR | Sports |
| gbronin | Emperor | Ronin | Sports |
| gbschlagenr | Benefactor | Schlagen-R | Sports |
| gbschlagensp | Benefactor | Schlagen-SP | Sports |
| gbschrauber | Benefactor | Schrauber | Sports |
| gbschwartzers | Benefactor | Schwartzer S | Sports |
| gbsentinelgts | Ubermacht | Sentinel GTS | Sports |
| gbsolace | Dewbauchee | Solace | Sports |
| gbsolacev | Dewbauchee | Solace Vitesse | Sports |
| gbsultanrsx | Karin | Sultan RSX | Sports |
| gbtenfr | Obey | Tenf R | Sports |
| gbvivantgrb | Bordeaux | Vivant GRB | Sports |

## Sports Classics

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbcometcl | Pfister | Comet Classic | Sports Classic |
| gbcomets1t | Pfister | Comet S1 Turbo | Sports Classic |
| gbkomodagt | Lampadati | Komoda GT | Sports Classic |
| gbraidillon | Toundra | Raidillon | Sports Classic |
| gbsidewinder | Maxwell | Sidewinder | Sports Classic |
| gbturismogt | Grotti | Turismo GT | Sports Classic |
| gbturismogts | Grotti | Turismo GTS | Sports Classic |

## Muscle

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbdominatorgsx | Vapid | Dominator GSX | Muscle |
| gbhades | Dundreary | Hades | Muscle |
| gbtahomagt | Declasse | Tahoma GT | Muscle |

## Compacts

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbbriosof | Grotti | Brioso Fulmine | Compacts |
| gbclubxr | BF | Club XR | Compacts |
| gbirisz | Bollokan | Iris Z | Compacts |
| gbissimetro | Weeny | Issi Metro | Compacts |
| gbvivant | Bordeaux | Vivant | Compacts |

## SUVs

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbgresleystx | Bravado | Gresley STX | SUV |
| gbstarlight | Vulcar | Starlight | SUV |

## Coupes

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbsapphire | Enus | Sapphire | Coupes |

## Vans

| Spawn Code | Brand | Name | Category |
|---|---|---|---|
| gbbisonstx | Bravado | Bison STX | Vans |
| gbboxboy | Brute | Boxboy | Vans |
| gbboxboyft | Brute | Boxboy Food Truck | Vans |
| gbesperta | Bravado | Esperta | Vans |

## Offroad

